레시피ID,품목ID,레시피원료명,소모량,단위
R0005,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0005,P0073,컵홀더 (24oz),1.0,EA
R0005,P0074,일반 빨대,1.0,EA
R0006,P0068,종이컵 (HOT),1.0,EA
R0006,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0006,P0070,컵홀더 (HOT),1.0,EA
R0007,P0071,아이스컵 (24oz),1.0,EA
R0007,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0007,P0073,컵홀더 (24oz),1.0,EA
R0007,P0074,일반 빨대,1.0,EA
R0008,P0068,종이컵 (HOT),1.0,EA
R0008,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0008,P0070,컵홀더 (HOT),1.0,EA
R0009,P0071,아이스컵 (24oz),1.0,EA
R0009,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0009,P0073,컵홀더 (24oz),1.0,EA
R0009,P0074,일반 빨대,1.0,EA
R0010,P0068,종이컵 (HOT),1.0,EA
R0010,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0010,P0070,컵홀더 (HOT),1.0,EA
R0011,P0071,아이스컵 (24oz),1.0,EA
R0011,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0011,P0073,컵홀더 (24oz),1.0,EA
R0011,P0074,일반 빨대,1.0,EA
R0012,P0071,아이스컵 (24oz),1.0,EA
R0012,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0012,P0073,컵홀더 (24oz),1.0,EA
R0012,P0074,일반 빨대,1.0,EA
R0013,P0068,종이컵 (HOT),1.0,EA
R0013,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0013,P0070,컵홀더 (HOT),1.0,EA
R0014,P0071,아이스컵 (24oz),1.0,EA
R0014,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0014,P0073,컵홀더 (24oz),1.0,EA
R0014,P0074,일반 빨대,1.0,EA
R0015,P0068,종이컵 (HOT),1.0,EA
R0015,P0069,핫컵 뚜껑 (HOT),1.0,EA
